ID,LastName,FirstName,Title,Gender,Boarded,Class,Age,Survived
30,Andersen-Jensen,Carla Christine Nielsine,Miss,F,Southampton,3rd,19,Yes
31,Anderson,Harry,Mr,M,Southampton,1st,47,Yes
32,Andersson,Anders Johan,Mr,M,Southampton,3rd,39,No
33,Andersson,Alfrida Konstantia Brogren,Mrs,F,Southampton,3rd,39,No
34,Andersson,Ida Augusta Margareta,Miss,F,Southampton,3rd,38,No
35,Andersson,Johan Samuel,Mr,M,Southampton,3rd,26,No
36,Andersson,Erna Alexandra,Miss,F,Southampton,3rd,17,Yes
37,Andersson,Sigrid Elisabeth,Miss,F,Southampton,3rd,11,No
38,Andersson,Ingeborg Constanzia,Miss,F,Southampton,3rd,9,No
39,Andersson,Ebba Iris Alfrida,Miss,F,Southampton,3rd,6,No
40,Andersson,Sigvard Harald Elias,Master,M,Southampton,3rd,4,No
41,Andersson,Ellis Anna Maria,Miss,F,Southampton,3rd,2,No
42,Andreasson,Pål Edvin,Mr,M,Southampton,3rd,20,No
43,Andrew,Frank Thomas,Mr,M,Southampton,2nd,25,No
44,Andrew,Edgar Samuel,Mr,M,Southampton,2nd,17,No
45,Andrews,Kornelia Theodosia,Miss,F,Cherbourg,1st,62,Yes
46,Andrews,Thomas,Mr,M,Belfast,1st,39,No
47,Angheloff,Minko,Mr,M,Southampton,3rd,26,No
48,Angle,Florence Agnes,Mrs,F,Southampton,2nd,36,Yes
49,Angle,William,Mr,M,Southampton,2nd,32,No
50,Appleton,Charlotte,Mrs,F,Southampton,1st,53,Yes
51,Arnold-Franchi,Josef,Mr,M,Southampton,3rd,25,No
52,Arnold-Franchi,Josefine,Mrs,F,Southampton,3rd,18,No
53,Aronsson,Ernst Axel Algot,Mr,M,Southampton,3rd,24,No
54,Artagaveytia,Ramon,Mr,M,Cherbourg,1st,71,No
55,Ashby,John,Mr,M,Southampton,2nd,57,No
56,Asim,Adola,Mr,M,Southampton,3rd,35,No
57,Asplund,Carl Oscar Vilhelm Gustafsson,Mr,M,Southampton,3rd,40,No
58,Asplund,Selma Augusta Emilia,Mrs,F,Southampton,3rd,38,Yes
59,Asplund,Johan Charles,Mr,M,Southampton,3rd,23,Yes
60,Asplund,Filip Oscar,Master,M,Southampton,3rd,13,No
61,Asplund,Clarence Gustaf Hugo,Master,M,Southampton,3rd,9,No
62,Asplund,Carl Edgar,Master,M,Southampton,3rd,5,No
63,Asplund,Lillian Gertrud,Miss,F,Southampton,3rd,5,Yes
64,Asplund,Edvin Rojj Felix,Master,M,Southampton,3rd,3,Yes
65,Assaf,Mariana,Mrs,F,Cherbourg,3rd,45,Yes
66,Assam,Ali,Mr,M,Southampton,3rd,23,No
67,Astor,John Jacob,Colonel,M,Cherbourg,1st,47,No
68,Astor,Madeleine Talmage,Mrs,F,Cherbourg,1st,18,Yes
69,Attala,Sleiman,Mr,M,Cherbourg,3rd,27,No
70,Attalah,Malake,Miss,F,Cherbourg,3rd,17,No
71,Aubart,Léontine Pauline “Ninette”,Mme.,F,Cherbourg,1st,24,Yes
72,Augustsson,Albert,Mr,M,Southampton,3rd,23,No
73,Ayoub Daher,Banoura,Miss,F,Cherbourg,3rd,15,Yes
74,Backström,Maria Mathilda,Mrs,F,Southampton,3rd,33,No
75,Backström,Karl Alfred,Mr,M,Southampton,3rd,32,No
76,Baclini,Helene Barbara,Miss,F,Cherbourg,3rd,0,Yes
77,Baclini,Latifa,Mrs,F,Cherbourg,3rd,24,Yes
78,Baclini,Marie Catherine,Miss,F,Cherbourg,3rd,5,Yes
79,Baclini,Eugenie,Miss,F,Cherbourg,3rd,3,Yes
80,Badman,Emily Louisa,Miss,F,Southampton,3rd,18,Yes
81,Badt,Mohamed,Mr,M,Cherbourg,3rd,40,No
82,Bailey,Percy,Mr,M,Southampton,2nd,15,No
83,Baimbrigge,Charles Robert,Mr,M,Southampton,2nd,22,No
84,Balkic,Cerin,Mr,M,Southampton,3rd,26,No
85,Balls,Ada E.,Mrs,F,Southampton,2nd,36,Yes
86,Banfield,Frederick James,Mr,M,Southampton,2nd,28,No
87,Banski,Mara,Mrs,F,Southampton,3rd,31,No
88,Barbara,Catherine David,Mrs,F,Cherbourg,3rd,45,No
89,Barbara,Saiide,Miss,F,Cherbourg,3rd,18,No
90,Barber,Ellen Mary (Maid to Mrs Tyrell William Cavendish),Miss,F,Southampton,1st,26,Yes
91,Barkworth,Algernon Henry,Mr,M,Southampton,1st,47,Yes
92,Barry,Julia,Miss,F,Queenstown,3rd,26,No
93,Barton,David John,Mr,M,Southampton,3rd,22,No
94,Bassani,Albina (Maid to William Robert Bucknell),Mrs,F,Cherbourg,1st,32,Yes
95,Bateman,Robert James,Reverend,M,Southampton,2nd,51,No
96,Batoshev,Hristo Lalev,Mr,M,Southampton,3rd,23,No
97,Baumann,John D.,Mr,M,Cherbourg,1st,60,No
98,Baxter,Hélène,Mrs,F,Cherbourg,1st,50,Yes
99,Baxter,Quigg Edmond,Mr,M,Cherbourg,1st,24,No
100,Beane,Edward,Mr,M,Southampton,2nd,32,Yes
101,Beane,Ethel,Mrs,F,Southampton,2nd,22,Yes
102,Beattie,Thomson,Mr,M,Southampton,1st,36,No
103,Beauchamp,Henry James,Mr,M,Southampton,2nd,28,No
104,Beavan,William Thomas,Mr,M,Southampton,3rd,20,No
105,Becker,Nellie E.,Mrs,F,Southampton,2nd,35,Yes
106,Becker,Ruth Elizabeth,Miss,F,Southampton,2nd,12,Yes
107,Becker,Marion Louise,Miss,F,Southampton,2nd,4,Yes
108,Becker,Richard F.,Master,M,Southampton,2nd,1,Yes
109,Beckwith,Sallie,Mrs,F,Southampton,1st,46,Yes
110,Beckwith,Richard Leonard,Mr,M,Southampton,1st,37,Yes
111,Beesley,Lawrence,Mr,M,Southampton,2nd,34,Yes
112,Behr,Karl Howell,Mr,M,Cherbourg,1st,26,Yes
113,Bengtsson,Johan Viktor,Mr,M,Southampton,3rd,26,No
114,Bentham,Lillian W.,Miss,F,Southampton,2nd,19,Yes
115,Berglund,Karl Ivar Sven,Mr,M,Southampton,3rd,22,No
116,Berriman,William John,Mr,M,Southampton,2nd,23,No
117,Bessette,Nellie Mayo (Maid to Mrs Ella Holmes White),Miss,F,Cherbourg,1st,39,Yes
118,Bidois,Rosalie (Maid to Mrs John Jacob Astor),Miss,F,Cherbourg,1st,46,Yes
119,Bing,Lee,Mr,M,Southampton,3rd,32,Yes
120,Bird,Ellen (Maid to Mr & Mrs Isodor Straus),Miss,F,Southampton,1st,31,Yes
121,Birkeland,Hans Martin Monsen,Mr,M,Southampton,3rd,21,No
122,Birnbaum,Jakob,Mr,M,Cherbourg,1st,24,No
123,Bishop,Dickinson H.,Mr,M,Cherbourg,1st,25,Yes
124,Bishop,Helen,Mrs,F,Cherbourg,1st,19,Yes
125,Björklund,Ernst Herbert,Mr,M,Southampton,3rd,18,No
126,Björnström-Steffansson,Mauritz Hokan,Mr,M,Southampton,1st,28,Yes
127,Blackwell,Stephen Weart,Mr,M,Southampton,1st,45,No
128,Blank,Henry,Mr,M,Cherbourg,1st,39,Yes
129,Bonnell,Elizabeth,Miss,F,Southampton,1st,61,Yes
130,Bonnell,Caroline,Miss,F,Southampton,1st,30,Yes
131,Borebank,John James,Mr,M,Southampton,1st,42,No
132,Bostandyeff,Guentcho,Mr,M,Southampton,3rd,26,No
133,Botsford,William Hull,Mr,M,Southampton,2nd,25,No
134,Bourke,John,Mr,M,Queenstown,3rd,42,No
135,Bourke,Mary,Miss,F,Queenstown,3rd,40,No
136,Bourke,Catherine,Mrs,F,Queenstown,3rd,32,No
137,Bowen,Grace Scott (Maid to Mr & Mrs Arthur Ryerson),Miss,F,Cherbourg,1st,45,Yes
138,Bowen,David John “Dai”,Mr,M,Southampton,3rd,26,No
139,Bowenur,Solomon,Mr,M,Southampton,2nd,42,No
140,Bowerman,Elsie Edith,Miss,F,Southampton,1st,22,Yes
141,Bracken,James Hollen,Mr,M,Southampton,2nd,29,No
142,Bradley,Bridget Delia,Miss,F,Queenstown,3rd,22,Yes
143,Brady,John Bertram,Mr,M,Southampton,1st,41,No
144,Braf,Elin Ester Maria,Miss,F,Southampton,3rd,20,No
145,Brailey,William Theodore Ronald,Mr,M,Southampton,2nd,24,No
146,Brandeis,Emil Franklin,Mr,M,Cherbourg,1st,48,No
147,Braund,Lewis Richard,Mr,M,Southampton,3rd,29,No
148,Braund,Owen Harris,Mr,M,Southampton,3rd,22,No
149,Brereton,George Andrew,Mr,M,Southampton,1st,37,Yes
150,Brewe,Arthur Jackson,Dr,M,Cherbourg,1st,45,No
151,Bricoux,Roger Marie,Mr,M,Southampton,2nd,20,No
152,Brito,José Joaquim de,Mr,M,Southampton,2nd,32,No
153,Brobäck,Karl Rudolf,Mr,M,Southampton,3rd,22,No
154,Brocklebank,William Alfred,Mr,M,Southampton,3rd,35,No
155,Brown,Thomas William Solomon,Mr,M,Southampton,2nd,60,No
156,Brown,Caroline Lane,Mrs,F,Southampton,1st,59,Yes
157,Brown,Margaret,Mrs,F,Cherbourg,1st,44,Yes
158,Brown,Elizabeth Catherine,Mrs,F,Southampton,2nd,40,Yes
159,Brown,Amelia Mary,Miss,F,Southampton,2nd,18,Yes
160,Brown,Edith Eileen,Miss,F,Southampton,2nd,15,Yes
161,Bryhl,Kurt Arnold Gottfrid,Mr,M,Southampton,2nd,25,No
162,Bryhl,Dagmar Jenny Ingeborg,Miss,F,Southampton,2nd,20,Yes
163,Buckley,Katherine,Miss,F,Queenstown,3rd,22,No
164,Buckley,Daniel,Mr,M,Queenstown,3rd,21,Yes
165,Bucknell,Emma Eliza,Mrs,F,Cherbourg,1st,58,Yes
166,Bulus,Sultanah,Mrs,F,Cherbourg,3rd,40,No
167,Bulus,Akar,Master,M,Cherbourg,3rd,9,No
168,Bulus,Nur-al-Ayn,Miss,F,Cherbourg,3rd,7,No
169,Burke,Jeremiah,Mr,M,Queenstown,3rd,19,No
170,Burns,Elizabeth Margaret (Nanny to Master Robert Douglas Spedden),Miss,F,Cherbourg,1st,41,Yes
171,Burns,Mary Delia,Miss,F,Queenstown,3rd,17,No
172,Buss,Kate,Miss,F,Southampton,2nd,36,Yes
173,Butler,Reginald Fenton,Mr,M,Southampton,2nd,25,No
174,Butrus-Ka’W i,Tannus,Mr,M,Cherbourg,3rd,21,No
175,Butt,Archibald Willingham,Major,M,Southampton,1st,46,No
176,Byles,Thomas Roussel Davids,Father,M,Southampton,2nd,42,No
177,Byström,Karolina,Mrs,F,Southampton,2nd,40,No
178,Cacic,Luka,Mr,M,Southampton,3rd,38,No
179,Cacic,Marija,Miss,F,Southampton,3rd,30,No
180,Cacic,Manda,Miss,F,Southampton,3rd,21,No
181,Cacic,Jego Grga,Mr,M,Southampton,3rd,18,No
182,Cairns,Alexander Milne (Manservant to William Ernest Carter),Mr,M,Southampton,1st,28,No
183,Calderhead,Edward Pennington,Mr,M,Southampton,1st,42,Yes
184,Caldwell,Alden Gates,Master,M,Southampton,2nd,0,Yes
185,Caldwell,Sylvia Mae,Mrs,F,Southampton,2nd,28,Yes
186,Caldwell,Albert Francis,Mr,M,Southampton,2nd,26,Yes
187,Calic,Petar,Mr,M,Southampton,3rd,17,No
188,Calic,Jovo,Mr,M,Southampton,3rd,17,No
189,Cameron,Clear Annie,Miss,F,Southampton,2nd,35,Yes
190,Campbell,William Henry,Mr,M,Belfast,2nd,21,No
191,Canavan,Mary,Miss,F,Queenstown,3rd,22,No
192,Canavan,Patrick,Mr,M,Queenstown,3rd,21,No
193,Candee,Helen Churchill,Mrs,F,Cherbourg,1st,52,Yes
194,Cann,Ernest,Mr,M,Southampton,3rd,21,No
195,Caram,Joseph,Mr,M,Cherbourg,3rd,28,No
196,Caram,Maria Elias,Mrs,F,Cherbourg,3rd,18,No
197,Carbines,William,Mr,M,Southampton,2nd,19,No
198,Cardeza,Charlotte Wardle,Mrs,F,Cherbourg,1st,58,Yes
199,Cardeza,Thomas Drake Martinez,Mr,M,Cherbourg,1st,36,Yes
200,Carlsson,Frans Olof,Mr,M,Southampton,1st,33,No
201,Carlsson,August Sigfrid,Mr,M,Southampton,3rd,28,No
202,Carlsson,Carl Robert,Mr,M,Southampton,3rd,24,No
203,Carr,Jane,Miss,F,Queenstown,3rd,45,No
204,Carrau,Francisco Mauro Severiano,Mr,M,Southampton,1st,27,No
205,Carraú-Esteves,José Pedro,Mr,M,Southampton,1st,17,No
206,Carter,Ernest Courtenay,Father,M,Southampton,2nd,54,No
207,Carter,Lilian,Mrs,F,Southampton,2nd,45,No
208,Carter,William Ernest,Mr,M,Southampton,1st,36,Yes
209,Carter,Lucile,Mrs,F,Southampton,1st,36,Yes
210,Carter,Lucile Polk,Miss,F,Southampton,1st,13,Yes
211,Carter,William Thornton II,Master,M,Southampton,1st,11,Yes
212,Carver,Alfred John,Mr,M,Southampton,3rd,28,No
213,Case,Howard Brown,Mr,M,Southampton,1st,49,No
214,Cassebeer,Eleanor Genevieve,Mrs,F,Cherbourg,1st,36,Yes
215,Cavendish,Tyrell William,Mr,M,Southampton,1st,36,No
216,Cavendish,Julia Florence,Mrs,F,Southampton,1st,25,Yes
217,Celotti,Francesco,Mr,M,Southampton,3rd,24,No
218,Chaffee,Carrie Constance,Mrs,F,Southampton,1st,47,Yes
219,Chaffee,Herbert Fuller,Mr,M,Southampton,1st,46,No
220,Chambers,Bertha,Mrs,F,Southampton,1st,32,Yes
221,Chambers,Norman Campbell,Mr,M,Southampton,1st,27,Yes
222,Chapman,Charles Henry,Mr,M,Southampton,2nd,52,No
223,Chapman,John Henry,Mr,M,Southampton,2nd,36,No
224,Chapman,Sara Elizabeth,Mrs,F,Southampton,2nd,28,No
225,Charters,David,Mr,M,Queenstown,3rd,20,No
226,Chaudanson,Victorine (Maid to Mrs Emily Ryerson),Miss,F,Cherbourg,1st,36,Yes
227,Cherry,Gladys,Miss,F,Southampton,1st,30,Yes
228,Chevré,Paul Romaine Marie Léonce,Mr,M,Cherbourg,1st,45,Yes
229,Chibnall,Edith Martha Bowerman,Mrs,F,Southampton,1st,48,Yes
230,Chip,Chang,Mr,M,Southampton,3rd,32,Yes
231,Chisholm,Roderick Robert Crispin,Mr,M,Belfast,1st,43,No
232,Christmann,Emil,Mr,M,Southampton,3rd,29,No
233,Christy,Alice Frances,Mrs,F,Southampton,2nd,45,Yes
234,Christy,Rachel Juli Cohen,Miss,F,Southampton,2nd,25,Yes
235,Chronopoulos,Apostolos M.,Mr,M,Cherbourg,3rd,26,No
236,Chronopoulos,Dimitrios M.,Mr,M,Cherbourg,3rd,21,No
237,Clark,Walter Miller,Mr,M,Cherbourg,1st,27,No
238,Clark,Virginia Estelle,Mrs,F,Cherbourg,1st,26,Yes
239,Clarke,Charles Valentine,Mr,M,Southampton,2nd,29,No
240,Clarke,John Frederick Preston,Mr,M,Southampton,2nd,28,No
241,Clarke,Ada Maria,Mrs,F,Southampton,2nd,28,Yes
242,Cleaver,Alice Catherine (Nanny to Master Hudson Trevor Allison),Miss,F,Southampton,1st,22,Yes
243,Clifford,George Quincy,Mr,M,Southampton,1st,40,No
244,Coelho,Domingos Fernandeo,Mr,M,Southampton,3rd,20,No
245,Cohen,Gurshon,Mr,M,Southampton,3rd,18,Yes
246,Colbert,Patrick,Mr,M,Queenstown,3rd,24,No
247,Coleff,Satio,Mr,M,Southampton,3rd,24,No
248,Coleridge,Reginald Charles,Mr,M,Southampton,2nd,29,No
249,Collander,Erik Gustaf,Mr,M,Southampton,2nd,27,No
250,Collett,Sidney Clarence Stuart,Mr,M,Southampton,2nd,25,Yes
251,Colley,Edward Pomeroy,Mr,M,Southampton,1st,37,No
252,Collyer,Charlotte Caroline,Mrs,F,Southampton,2nd,31,Yes
253,Collyer,Harvey,Mr,M,Southampton,2nd,31,No
254,Collyer,Marjorie Lottie,Miss,F,Southampton,2nd,8,Yes
255,Coltcheff,Peju,Mr,M,Southampton,3rd,36,No
256,Compton,Mary Eliza,Mrs,F,Cherbourg,1st,64,Yes
257,Compton,Sara Rebecca,Miss,F,Cherbourg,1st,39,Yes
258,Compton,Alexander Taylor Jr,Mr,M,Cherbourg,1st,37,No
259,Conlin,Thomas Henry,Mr,M,Queenstown,3rd,31,No
260,Connaughton,Michael,Mr,M,Queenstown,3rd,40,No
261,Connolly,Kate,Miss,F,Queenstown,3rd,41,No
262,Connolly,Catherine,Miss,F,Queenstown,3rd,23,Yes
263,Connors,Patrick,Mr,M,Queenstown,3rd,66,No
264,Cook,Jacob,Mr,M,Southampton,3rd,43,No
265,Cook,Selena,Mrs,F,Southampton,2nd,22,Yes
266,Cor,Bartol,Mr,M,Southampton,3rd,35,No
267,Cor,Ivan,Mr,M,Southampton,3rd,27,No
268,Cor,Liudevit,Mr,M,Southampton,3rd,19,No
269,Corbett,Irene,Mrs,F,Southampton,2nd,30,No
270,Corey,Mary Emma,Mrs,F,Southampton,2nd,30,No
271,Cornblatt,Harris,Mr,M,Southampton,3rd,30,No
272,Cornell,Malvina Helen,Mrs,F,Southampton,1st,55,Yes
273,Corr,Ellen,Miss,F,Queenstown,3rd,16,Yes
274,Cotterill,Henry,Mr,M,Southampton,2nd,20,No
275,Coutts,Winnie,Mrs,F,Southampton,3rd,36,Yes
276,Coutts,William Loch,Master,M,Southampton,3rd,9,Yes
277,Coutts,Neville Leslie,Master,M,Southampton,3rd,3,Yes
278,Coxon,Daniel,Mr,M,Southampton,3rd,59,No
279,Crafton,John Bertram,Mr,M,Southampton,1st,59,No
280,Crease,Ernest James,Mr,M,Southampton,3rd,19,No
281,Cribb,John Hatfield,Mr,M,Southampton,3rd,44,No
282,Cribb,Laura Mae,Miss,F,Southampton,3rd,16,Yes
283,Crosby,Edward Gifford,Captain,M,Southampton,1st,70,No
284,Crosby,Catherine Elizabeth,Mrs,F,Southampton,1st,64,Yes
285,Crosby,Harriette Rebecca,Miss,F,Southampton,1st,39,Yes
286,Culumovic,Jeso,Mr,M,Southampton,3rd,17,No
287,Cumings,John Bradley,Mr,M,Cherbourg,1st,39,No
288,Cumings,Florence Briggs,Mrs,F,Cherbourg,1st,35,Yes
289,Cunningham,Alfred Fleming,Mr,M,Belfast,2nd,21,No
290,Daher,Tannous,Mr,M,Cherbourg,3rd,28,No
291,Dahl,Charles Edward,Mr,M,Southampton,3rd,45,Yes
292,Dahlberg,Gerda Ulrika,Miss,F,Southampton,3rd,22,No
293,Dakic,Branko,Mr,M,Southampton,3rd,19,No
294,Daly,Peter Dennis,Mr,M,Southampton,1st,51,No
295,Daly,Margaret Marcella,Miss,F,Queenstown,3rd,33,Yes
296,Daly,Eugene Patrick,Mr,M,Queenstown,3rd,29,Yes
297,Danbom,Gilbert Sigvard Emanuel,Master,M,Southampton,3rd,0,No
298,Danbom,Ernst Gilbert,Mr,M,Southampton,3rd,34,No
299,Danbom,Anna Sigrid Maria,Mrs,F,Southampton,3rd,28,No
300,Daniel,Robert Williams,Mr,M,Southampton,1st,27,Yes
301,Daniels,Sarah Rebecca (Maid to Mr & Mrs Allison),Miss,F,Southampton,1st,33,Yes
302,Danoff,Yoto,Mr,M,Southampton,3rd,27,No
303,Davidson,Thornton,Mr,M,Cherbourg,1st,31,No
304,Davidson,Orian,Mrs,F,Cherbourg,1st,27,Yes
305,Davies,Agnes,Mrs,F,Southampton,2nd,48,Yes
306,Davies,Alfred James,Mr,M,Southampton,3rd,24,No
307,Davies,Evan,Mr,M,Southampton,3rd,22,No
308,Davies,John,Mr,M,Southampton,3rd,21,No
309,Davies,Charles Henry,Mr,M,Southampton,2nd,19,No
310,Davies,Joseph,Mr,M,Southampton,3rd,17,No
311,Davies,John Morgan Jr,Master,M,Southampton,2nd,8,Yes
312,Davis,Mary Ann Charlotte,Miss,F,Southampton,2nd,28,Yes
313,Davison,Mary Elizabeth,Mrs,F,Southampton,3rd,34,Yes
314,Davison,Thomas Henry,Mr,M,Southampton,3rd,32,No
315,De Messemaeker,Guillaume Joseph,Mr,M,Southampton,3rd,36,Yes
316,De Messemaeker,Anna,Mrs,F,Southampton,3rd,36,Yes
317,De Mulder,Theodoor,Mr,M,Southampton,3rd,30,Yes
318,De Pelsmaeker,Alfons,Mr,M,Southampton,3rd,16,No
319,Deacon,Percy William,Mr,M,Southampton,2nd,18,No
320,Dean,Elizabeth Gladys “Millvina”,Miss,F,Southampton,3rd,0,Yes
321,Dean,Eva Georgetta,Mrs,F,Southampton,3rd,32,Yes
322,Dean,Bertram Frank,Mr,M,Southampton,3rd,25,No
323,Dean,Bertram Vere,Master,M,Southampton,3rd,1,Yes
324,Del Carlo,Sebastiano,Mr,M,Cherbourg,2nd,29,No
325,Del Carlo,Argene,Mrs,F,Cherbourg,2nd,24,Yes
326,Delalic,Redjo,Mr,M,Southampton,3rd,25,No
327,Denbuoy,Albert Joseph,Mr,M,Southampton,2nd,25,No
328,Denkoff,Mitto,Mr,M,Southampton,3rd,30,No
329,Dennis,William,Mr,M,Southampton,3rd,26,No
330,Dennis,Samuel,Mr,M,Southampton,3rd,22,No
331,Devaney,Margaret Delia,Miss,F,Queenstown,3rd,19,Yes
332,Dibden,William,Mr,M,Southampton,2nd,18,No
333,Dick,Albert Adrian,Mr,M,Southampton,1st,31,Yes
334,Dick,Vera,Mrs,F,Southampton,1st,17,Yes
335,Dika,Mirko,Mr,M,Southampton,3rd,17,No
336,Dimic,Jovan,Mr,M,Southampton,3rd,42,No
337,Dintcheff,Valtcho,Mr,M,Southampton,3rd,43,No
338,Dodge,Washington,Dr,M,Southampton,1st,52,Yes
339,Dodge,Ruth,Mrs,F,Southampton,1st,34,Yes
340,Dodge,Washington,Master,M,Southampton,1st,4,Yes
341,Doling,Ada Julia Elizabeth,Mrs,F,Southampton,2nd,34,No
342,Doling,Elsie,Miss,F,Southampton,2nd,18,No
343,Donohoe,Bridget,Miss,F,Queenstown,3rd,21,No
344,Dooly,Patrick,Mr,M,Queenstown,3rd,38,No
345,Dorking,Edward Arthur,Mr,M,Southampton,3rd,18,Yes
346,Dougherty,William John,Mr,M,Queenstown,3rd,22,No
347,Douglas,Walter Donald,Mr,M,Cherbourg,1st,50,No
348,Douglas,Mahala,Mrs,F,Cherbourg,1st,48,Yes
349,Douglas,Mary Hélène,Mrs,F,Cherbourg,1st,27,Yes
350,Douton,William Joseph,Mr,M,Southampton,2nd,55,No
351,Dowdell,Elizabeth,Miss,F,Southampton,3rd,31,Yes
352,Doyle,Elizabeth,Miss,F,Queenstown,3rd,28,No
353,Drazenovic,Jozef,Mr,M,Cherbourg,3rd,33,No
354,Drew,James Vivian,Mr,M,Southampton,2nd,42,No
355,Drew,Maria Louisa Thorne,Mrs,F,Southampton,2nd,34,Yes
356,Drew,Marshall Brines,Master,M,Southampton,2nd,8,Yes
357,Driscoll,Bridget,Miss,F,Queenstown,3rd,27,Yes
358,Dropkin,Jennie,Miss,F,Southampton,3rd,24,No
359,Duff Gordon,Cosmo Edmund,Sir,M,Cherbourg,1st,49,Yes
360,Duff Gordon,"Lucy Christiana,",Lady,F,Cherbourg,1st,48,Yes
361,Dulles,William Crothers,Mr,M,Cherbourg,1st,39,No
362,Duquemin,Joseph Pierre,Mr,M,Southampton,3rd,24,Yes
363,Durán I Moné,Florentina,Señora,F,Cherbourg,2nd,30,Yes
364,Durán I Moné,Asuncion,Señora,F,Cherbourg,2nd,27,Yes
365,Dwan,Frank,Mr,M,Queenstown,3rd,65,No
366,Dyker,Adolf Fredrik,Mr,M,Southampton,3rd,23,No
367,Dyker,Anna Elisabeth Judith,Mrs,F,Southampton,3rd,22,Yes
368,Earnshaw,Olive,Mrs,F,Cherbourg,1st,23,Yes
369,Edvardsson,Gustaf Hjalmar,Mr,M,Southampton,3rd,18,No
370,Eitemiller,George Floyd,Mr,M,Southampton,2nd,25,No
371,Eklund,Hans Linus,Mr,M,Southampton,3rd,16,No
372,Ekström,Amandus,Mr,M,Southampton,3rd,45,No
373,Elias,Dibo,Mr,M,Cherbourg,3rd,29,No
374,Elias,Joseph jr.,Mr,M,Cherbourg,3rd,15,No
375,Elias Nasrallah,Tannous,Mr,M,Cherbourg,3rd,22,No
376,Elsbury,William James,Mr,M,Southampton,3rd,48,No
377,Emanuel,Virginia Ethel,Miss,F,Southampton,3rd,5,Yes
378,Enander,Ingvar,Mr,M,Southampton,2nd,21,No
379,Endres,Caroline Louise (Nurse to Mrs Madeleine Astor),Miss,F,Cherbourg,1st,39,Yes
380,Estanislau,Manuel Gonçalves,Mr,M,Southampton,3rd,37,No
381,Eustis,Elizabeth Mussey,Miss,F,Cherbourg,1st,54,Yes
382,Evans,Edith Corse,Miss,F,Cherbourg,1st,36,No
383,Everett,Thomas James,Mr,M,Southampton,3rd,38,No
384,Fahlstrøm,Arne Joma,Mr,M,Southampton,2nd,18,No
385,Fardon,Charles Richard,Mr,M,Southampton,3rd,45,No
386,Farrell,James,Mr,M,Queenstown,3rd,25,No
387,Farthing,John (Manservant to & s Straus),Mr,M,Southampton,1st,57,No
388,Faunthorpe,Harry Bartram,Mr,M,Southampton,2nd,41,No
389,Fillbrook,Joseph Charles,Mr,M,Southampton,2nd,18,No
390,Finoli,Luigi,Mr,M,Southampton,3rd,34,Yes
391,Fischer,Eberhard Thelander,Mr,M,Southampton,3rd,18,No
392,Flegenheim,Antoinette,Mrs,F,Cherbourg,1st,48,Yes
393,Fleming,Margaret (Maid to Mr & Mrs Thayer),Miss,F,Cherbourg,1st,42,Yes
394,Fleming,Honor,Miss,F,Queenstown,3rd,22,No
395,Flynn,John,Mr,M,Queenstown,3rd,42,No
396,Flynn,John Irwin,Mr,M,Southampton,1st,36,Yes
397,Flynn,James,Mr,M,Queenstown,3rd,28,No
398,Foley,William,Mr,M,Queenstown,3rd,20,No
