species,island,sex,year,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g
Adelie,Dream,male,2008,47.12647219308771,16.71337071,220.1281475056935,5615.402401866559
Gentoo,Dream,male,2007,45.45880848829842,16.17652949060083,197.93518260721817,4185.815518698195
Chinstrap,Dream,male,2009,42.22020784391791,12.82060499115737,213.99692248871034,5191.434687388453
Chinstrap,Torgersen,female,2008,49.014989803093655,17.611331358324907,195.27535755324632,3539.7464832702135
Gentoo,Biscoe,male,2007,53.06213675109264,13.71997817134193,216.67397049483907,5303.6886827945145
Adelie,Biscoe,female,2008,49.13590562952635,16.796448844834796,204.4620069179287,3893.9104323433585
Gentoo,Dream,female,2007,43.13144337459987,17.89296041169361,206.14272024656987,4796.783156985562
Adelie,Biscoe,male,2009,53.813077650913684,16.42265215194945,218.39150726287252,5092.720968815478
Adelie,Dream,female,2007,43.98418662848384,16.96302932346748,198.34830883994206,4009.7702462713123
Adelie,Dream,female,2009,58.57579213166684,17.107913618395028,205.92867177035123,3992.340996185812
Chinstrap,Biscoe,male,2008,52.10827934651561,17.303860486610127,221.8289539871645,5228.826586
Gentoo,Dream,male,2008,45.05960467310793,16.24899817,203.2738721651729,4660.213114845782
Gentoo,Dream,male,2009,46.17600534372001,16.267546212581475,207.61471086240726,4405.318014946751
Adelie,Dream,male,2008,39.79904026,18.27358432819625,188.21486735558807,3352.8917215427855
Adelie,Biscoe,female,2007,36.281051224263415,13.731827890475405,202.5666097587577,4585.4437415869015
Adelie,Biscoe,male,2009,40.592881199601685,14.293327865740903,204.23481024114074,4599.434167365588
Gentoo,Torgersen,female,2009,38.147623275462664,15.837912439456826,198.45172473825994,4222.464949383211
Gentoo,Biscoe,female,2007,48.292992789358756,17.740329120578288,210.22749437310273,4155.948240757064
Adelie,Biscoe,male,2007,50.079013765545575,18.182419660756914,201.11443728041954,4083.2595596480405
Chinstrap,Dream,female,2007,47.89526619,16.716372608472405,213.39290228878028,4578.257262437364
Gentoo,Dream,male,2009,41.34181580662704,17.787997058746097,208.54064713078463,4866.933807630748
Chinstrap,Biscoe,male,2009,40.45602615,15.808765634115927,197.49576380441155,3605.371829673976
Adelie,Torgersen,female,2008,57.11071265579045,15.473004105941826,241.6742640741985,6504.094813
Chinstrap,Dream,female,2007,39.424501569713435,18.40802251508773,188.77196836526556,3860.0685488420154
Gentoo,Torgersen,female,2009,44.866777643565726,17.124605824981884,214.73939191885862,4809.332980291547
Chinstrap,Dream,male,2009,48.41281087174535,14.950986222184357,215.29092091465094,4950.283149542226
Adelie,Torgersen,male,2009,41.607712429417155,19.02398363756648,194.1512611601216,4296.6466993230715
Gentoo,Biscoe,female,2007,51.64088955478701,12.430354004629553,230.23167509711877,4956.404686365602
Adelie,Dream,male,2007,44.83830317348469,19.209740401455026,202.35467865050094,4806.004819074278
Adelie,Biscoe,male,2007,49.015977372087136,17.49736902482803,214.78285550327647,4880.598214195318
Adelie,Biscoe,male,2008,57.58054391162896,16.392801273156934,220.46893195428532,5542.343048750635
Chinstrap,Biscoe,male,2008,43.81490558815054,17.00079122611946,197.44170579924287,4689.390235
Gentoo,Dream,male,2007,39.65106658,15.807683970165332,188.7512983156363,3850.8768037713057
Adelie,Dream,male,2009,49.98422744822956,13.565976978248498,208.99435597420415,5233.955518239938
Gentoo,Biscoe,female,2008,41.99707892119549,18.43753477055677,186.4870173421977,3615.110794669307
Adelie,Biscoe,female,2009,47.88560306728769,19.51852325,204.10734529002406,4321.783639231409
Gentoo,Dream,male,2007,42.28082053813335,12.457137334647227,197.88254024040137,3536.0857232286926
Gentoo,Biscoe,male,2007,35.63722348220461,17.226314831969496,185.7244552322299,3280.2800968943784
Chinstrap,Biscoe,male,2008,47.56318095081662,15.451983869891064,218.52352223444564,5319.7086858335915
Adelie,Biscoe,female,2009,46.73274733,15.77182909867564,200.4303385572517,4238.326096125565
Adelie,Biscoe,male,2009,40.91572472305151,18.690682365901466,197.57222898006637,3437.0377721519008
Adelie,Biscoe,female,2007,43.06499708274912,13.67303198753459,211.90097830058292,4999.074575
Gentoo,Dream,female,2008,49.85541102424365,15.99700823507846,219.72369801716252,5213.684089
Chinstrap,Dream,male,2007,46.58092947029119,17.322308536627425,209.4581326244734,4420.408084650937
Chinstrap,Biscoe,male,2009,43.466683725471135,16.322675233656703,194.97325202618873,3924.2987288063637
Adelie,Biscoe,female,2008,44.63703900814333,16.48219712011201,184.4725649,2960.746775363097
Adelie,Dream,female,2007,38.40038474351287,18.59072128638796,200.1265448374371,3824.6495843460075
Gentoo,Biscoe,male,2009,43.58401270449654,18.15611646713505,203.78200469882623,3989.9609123372393
Adelie,Biscoe,male,2008,50.89106148,16.05330893747921,213.34980334590063,4523.8280632151955
Adelie,Torgersen,male,2009,44.290037561513785,17.765464661794677,198.09785811965514,4000.1446008887942
Adelie,Biscoe,female,2007,40.807391647651336,15.756425434384694,208.75913234669926,4000.733239796843
Chinstrap,Dream,male,2009,48.78468033974305,15.706921216266807,210.73567447015384,4732.4118703684435
Adelie,Biscoe,female,2007,48.11018025205017,17.707583595340676,206.6414275636019,5004.0816917868715
Gentoo,Dream,male,2009,32.41461903317127,17.672258401416567,183.25415227327085,3730.679870005326
Adelie,Dream,male,2009,50.93505906478628,17.638281634243693,215.2230696772134,5246.332082696868
Adelie,Biscoe,male,2008,33.68646192888371,18.824076132410333,181.74033661710183,3876.075407699808
Chinstrap,Dream,female,2009,36.18544598315464,21.007700275754488,176.93328045992635,2594.109975119385
Adelie,Biscoe,female,2009,38.91673104462565,17.507135626628852,206.93850421797333,5454.138669935088
Adelie,Biscoe,male,2007,44.22367355624055,17.308476702917247,208.8133062246419,4795.351721269163
Gentoo,Torgersen,female,2008,44.40840039870147,15.864435073271594,212.31601111622444,4212.7420778828255
Chinstrap,Biscoe,male,2007,51.084310389840766,16.73487084736162,216.70848136822315,4207.875226
Adelie,Biscoe,male,2009,43.79860255429493,19.15413914646122,187.19868088873974,4480.867562301879
Gentoo,Torgersen,male,2009,39.54531626527379,18.850285015550092,165.3735322267016,1741.0316007404545
Gentoo,Dream,female,2007,35.30092065205113,15.903774689983075,205.82345540430757,4215.371991151418
Gentoo,Dream,male,2008,38.310957469045185,18.239864964381606,174.45484051875434,2956.279108541421
Gentoo,Torgersen,female,2007,39.109807248239534,14.91063423232909,201.12231009173817,4973.252394524243
Gentoo,Biscoe,female,2007,60.70664194458908,14.002644154803583,236.55662055296867,5980.112268170455
Chinstrap,Dream,female,2007,46.82482023020573,12.881848506675912,216.1665618717942,5412.016455205144
Gentoo,Biscoe,female,2008,48.84311557434514,21.023531582417725,194.45984050409396,3507.6973461324424
Adelie,Biscoe,female,2008,54.42970292629029,16.005669269531882,220.92744101786994,4668.526012064958
Adelie,Dream,female,2007,49.66841075331653,14.718697608867814,210.45648458936782,4371.936355431169
Gentoo,Biscoe,female,2009,43.05633641650774,18.711244227245594,187.4260995394881,3498.2981253186426
Gentoo,Dream,male,2007,38.12954939478712,20.142305462811482,170.2668913067485,2580.1507015373963
Gentoo,Biscoe,female,2009,44.95503391267532,17.394681149563226,215.65804371579554,4610.269005074639
Adelie,Torgersen,male,2008,41.49536535937347,18.50628608202998,185.7654339857357,3514.6394019719355
Chinstrap,Biscoe,male,2007,59.79082994858482,16.551609845492994,216.26019113568748,5867.888099268239
Chinstrap,Biscoe,female,2009,39.20834789876407,17.808302972744862,195.50542313328063,4278.392536008591
Chinstrap,Dream,male,2007,36.86743929,17.44249634237718,199.3860404377721,4439.645598761854
Adelie,Biscoe,female,2007,40.02878836404549,12.746484712099507,213.11346903928123,4104.904640299239
Adelie,Torgersen,male,2008,41.04784465,17.019551115913877,189.00377571078565,3769.0207381751006
Chinstrap,Torgersen,male,2007,45.885655627400844,19.957333810988878,190.7652168426587,3562.799626540722
Adelie,Biscoe,male,2007,38.601774097972076,21.312615526005583,169.18914985799216,2043.4062939759287
Adelie,Torgersen,male,2009,45.80524134815205,16.22022122418519,217.56804136773317,4876.559095007653
Adelie,Biscoe,male,2009,37.61226070082743,19.567212068919005,187.70867211569987,3297.761801625019
Adelie,Dream,male,2008,42.592990240054796,17.567821134004966,202.6667913339439,3957.6111943113538
Chinstrap,Dream,male,2008,43.393363639844715,18.69653141525919,198.4914074876555,4004.7690749679355
Gentoo,Biscoe,male,2008,40.205581009111846,18.446833763014133,198.01606324162458,4092.9817124522924
Gentoo,Biscoe,male,2007,39.84063575345793,16.953717417492502,196.30592961975043,3480.745805361139
Adelie,Biscoe,male,2008,46.74088837033642,21.868583010618977,174.8625986108545,3218.1178617213545
Adelie,Biscoe,female,2007,39.45871244846547,15.965910438314808,184.95457381232762,2789.624978487917
Gentoo,Biscoe,male,2009,44.368080585959234,14.781425074337232,203.3259144763621,3732.4518627635607
Chinstrap,Biscoe,male,2008,37.57802009340738,19.241835618955943,184.7426121,3483.7563649229623
Adelie,Torgersen,female,2009,48.76766269551695,12.116094618207244,229.2548752905543,5690.488765419916
Adelie,Torgersen,male,2009,36.50463086,18.207266850426052,196.8008054209447,3842.5603783726024
Adelie,Biscoe,female,2007,48.47326171357061,17.449627600771507,226.36329662106039,5169.657089579889
Adelie,Dream,female,2009,53.09266427183877,13.994347043128094,213.99820644726628,5126.982448645305
Adelie,Biscoe,male,2009,53.30381986700735,19.420596253635452,214.69474129315495,4449.577821480982
Adelie,Dream,male,2008,42.65922733006593,15.999255384918536,187.65925157659652,3779.1368720354358
Adelie,Dream,female,2007,46.896477545283474,16.673123106322755,207.79484828756767,4201.795130734342
Adelie,Dream,female,2008,41.48651722590817,15.216768744615536,201.02507131680795,3815.639290908446
Gentoo,Dream,male,2009,45.755408212450654,19.23765365143836,205.13299185652116,4321.313357174418
Adelie,Biscoe,female,2007,40.626742988125386,19.728570409034553,190.72309809530142,3740.360948268524
Gentoo,Dream,female,2009,35.92845269453275,18.78261908844564,188.10320290112136,3725.4309376117417
Chinstrap,Dream,female,2007,40.50966585043018,16.34425105497292,196.48325413116282,3651.7003256631447
Gentoo,Biscoe,female,2008,39.38928169371684,17.90624945803554,189.91829118941016,3440.5293893825647
Gentoo,Dream,female,2009,40.80382814039352,17.407145795036524,197.28963390685163,3174.7512099950995
Adelie,Torgersen,male,2009,48.61867313042013,20.970032525904745,201.53872485034623,5076.7438349382655
Adelie,Dream,female,2008,52.578465208425094,15.908883094333383,226.03799537498148,5301.12883
Gentoo,Torgersen,male,2007,55.21709469559948,16.20392085492121,224.66768313631752,5483.38285
Chinstrap,Dream,male,2009,47.86153783561529,14.951446857513712,215.81197659102935,4680.673996365853
Chinstrap,Biscoe,female,2008,48.76609838113469,18.400200475426328,218.96134722000502,5628.3915772266755
Adelie,Biscoe,female,2007,37.69027245276352,17.61930910988749,201.86791858197634,4498.814173997209
Chinstrap,Dream,male,2007,47.75753863335421,15.486872196943917,214.8796145042374,5248.457047598637
Gentoo,Biscoe,female,2009,52.155747726190015,15.945255170574267,213.87167488666537,5370.403610294482
Chinstrap,Dream,female,2007,38.54402266595162,15.201915747540141,213.21290878114544,4282.494669633749
Adelie,Biscoe,female,2009,32.87988685,19.81534384,179.98061350011184,3197.8656163145647
Adelie,Biscoe,female,2008,46.71027940816899,14.401847417010494,220.02120585619284,5425.077821118923
Gentoo,Dream,male,2009,38.54186567715974,15.77442436209683,205.63729029857157,4539.353933354235
Adelie,Dream,female,2009,48.91082676126195,16.57303433514378,181.13452883026903,3005.331671641404
Adelie,Biscoe,female,2007,42.55510336077996,19.866917331610363,192.42479145833613,4177.5904850015395
Chinstrap,Torgersen,female,2008,47.71792316812489,18.06560565973086,205.82146298612162,4193.5636819030115
Adelie,Biscoe,male,2007,39.21842703,20.471970992270453,178.37018714870743,3504.4565373068604
Adelie,Biscoe,female,2008,40.30855100656306,19.070095936422984,184.29300108132176,3165.5776234518826
Chinstrap,Biscoe,male,2008,43.87959965955602,14.164414291467189,212.78594069416488,4694.715306418372
Adelie,Dream,female,2007,42.795901239356375,18.433599751454093,205.3622051,4932.894469483864
Chinstrap,Biscoe,male,2009,46.81407008713515,17.92117826444889,193.75698089247857,4430.759565
Chinstrap,Biscoe,male,2009,45.085623812410994,15.886286838579945,203.98450128356285,3768.017484323202
Chinstrap,Dream,male,2007,46.20003510582497,17.348450681353633,209.84926788370856,4895.766385508733
Adelie,Biscoe,male,2007,42.134044135580986,16.108641076759298,197.04293373558028,3470.624004542953
Adelie,Biscoe,female,2009,44.068726154369045,15.495015395885318,197.27016497199673,4402.959693334673
Adelie,Biscoe,male,2009,34.85908272762566,16.07472333355908,194.96517509563424,3874.564658952294
Gentoo,Biscoe,male,2009,37.42762566336777,14.79115216689172,193.69598545739822,3913.366719
Adelie,Biscoe,male,2008,49.751521885164465,13.428061025423453,219.73740458830977,5144.319495616504
Adelie,Dream,male,2007,45.58757329858481,15.262981364993674,214.63559696979297,4874.829710757992
Gentoo,Dream,male,2008,47.88837573345022,15.993435106662602,221.6000046635101,5490.8558234399225
Chinstrap,Torgersen,male,2008,34.737646359868606,20.16460091728544,195.1433191157622,3736.9396001079817
Adelie,Biscoe,male,2008,48.559532932508134,15.359552182401304,207.8888128460312,4651.8466777729445
Gentoo,Biscoe,female,2008,42.212307977029965,20.05095255484653,184.24757610539726,2819.0981482112156
Gentoo,Torgersen,male,2007,44.52685806091457,17.945145406007743,190.91411118095513,3788.947647890369
Adelie,Biscoe,female,2008,46.36649141,20.383125295900218,180.70771371907497,2573.6037823461475
Adelie,Dream,male,2008,54.79701513884718,12.247231257329501,237.42640019858808,5614.875981379058
Gentoo,Dream,female,2008,48.540951514511406,15.896591797342715,209.75703707621045,4261.678970659405
Adelie,Dream,male,2007,42.67957423473952,21.150173709840825,182.83904548390313,3176.2123134852295
Gentoo,Dream,female,2009,41.71473787628688,16.45270281102341,194.1233744863543,3595.820208363158
Gentoo,Dream,female,2009,39.92783947232273,18.77804443883605,191.6356172117225,3798.916868918165
Adelie,Dream,female,2009,44.531931230898365,14.224939135631635,217.83793634885546,4486.183562925641
Adelie,Biscoe,female,2008,48.27290652279425,17.714643150972634,207.14946527239616,3925.2782088329604
Chinstrap,Dream,female,2007,46.26022748608247,20.40799199945919,187.46344567270106,4449.015542690425
Gentoo,Torgersen,female,2008,44.29531968,16.67461739183454,192.29967811416154,3664.1857948815923
Gentoo,Biscoe,male,2007,47.61560190212575,12.00291938695501,225.58043291066403,5194.998624529719
Chinstrap,Dream,male,2008,52.755082805851416,16.25245860212245,203.9760501307382,4652.411449529693
Adelie,Biscoe,female,2007,40.604447546082675,15.48077924,215.51751637095867,4727.715106447681
Chinstrap,Biscoe,female,2008,45.90579494600316,17.52101676387924,204.27750465660606,5375.146527779332
Gentoo,Biscoe,female,2009,45.62893022134762,13.531432429777453,212.2489136187403,3871.337233734683
Adelie,Biscoe,female,2008,34.20353851303204,15.815866921538714,197.5137864387202,3375.026865
Adelie,Torgersen,female,2008,52.21547425400332,15.632973031934409,219.08765994837927,5322.253451399907
Adelie,Dream,male,2008,39.81435267976715,16.90085987853127,198.8161109566713,3906.8225061247263
Adelie,Torgersen,female,2007,50.056847946095544,17.904007058778625,218.28880212843438,4592.525616779892
Gentoo,Biscoe,female,2008,42.70255599126306,15.082387477229364,191.39031020823592,3149.833843451557
Adelie,Dream,female,2008,41.52641136930429,16.96118887675759,200.78627827426803,4904.532976173674
Adelie,Dream,male,2009,44.39536019826639,15.820494405328072,181.42478170408202,3538.6209873584103
Gentoo,Dream,female,2007,41.22014252750952,15.441717439854148,223.9347137779278,4954.565196560527
Chinstrap,Biscoe,male,2007,49.34409343117653,20.79814764543461,199.99870692936403,3900.679765707678
Adelie,Biscoe,female,2007,42.30437698107176,15.21649101030983,201.6791103416791,3906.825540890074
Chinstrap,Biscoe,female,2008,51.16593817347848,17.442734337222642,205.63134939902238,3941.0496372137177
Gentoo,Dream,female,2008,46.00731176,15.395675021168792,210.37993789884564,4615.258486485496
Gentoo,Dream,female,2009,43.37796288912478,16.40454080598418,217.39713486100092,5456.326349521275
Adelie,Biscoe,female,2009,50.21599890707899,14.787854771446993,223.04788390481718,5473.072534409197
Adelie,Torgersen,male,2007,34.184813865367154,17.64406396100563,173.15908446209446,2523.163922325747
Adelie,Dream,female,2007,47.63837655823435,17.559462311572467,207.3605529884001,4300.898406469452
Adelie,Biscoe,female,2007,42.72839718017651,19.377114946243317,203.9146411842551,4558.415819784879
Chinstrap,Biscoe,male,2007,41.48514725917758,18.182748476889856,192.93758717967833,3724.2100145278378
Chinstrap,Dream,female,2008,42.569471422375514,18.525785663214016,192.84735973046412,4331.387789351331
Gentoo,Biscoe,female,2009,50.987926207603415,16.279733412982363,211.34060126675638,5714.935196554528
Adelie,Biscoe,female,2007,42.90960355101983,15.63130085953316,208.92298530803373,4304.96906
Gentoo,Biscoe,female,2008,33.899646188916314,18.060678676042755,168.65632981919043,2581.427709148804
Gentoo,Biscoe,male,2007,43.52183963562777,17.19901139554493,204.86060488903502,4355.8438751287085
Adelie,Dream,female,2008,44.05955800641479,17.054055625207788,202.40602641401924,4512.6896165604485
Adelie,Biscoe,male,2007,44.03245322579005,18.24855460909176,198.5107759044027,3983.484513354181
Adelie,Dream,male,2009,43.366046104749124,13.46364852617884,211.48840953594933,4714.103403132746
Adelie,Biscoe,female,2007,37.70079156810322,16.21673366,196.25024926428702,3732.303595229024
Adelie,Biscoe,male,2009,50.94493588388676,13.439250132169915,219.2079962662352,4929.2759704093105
Adelie,Dream,male,2007,46.929522824115985,17.62633148235381,210.46454786858607,4782.273698000974
Gentoo,Dream,female,2009,42.21376535,16.374584232398735,202.58931132885834,4127.522184383224
Gentoo,Biscoe,male,2009,39.58780466703395,15.959129710538488,205.90975042957288,4347.466121657499
Gentoo,Biscoe,female,2009,44.695435887868356,15.95844552444411,206.5228705970501,4043.9076488932897
Adelie,Dream,male,2008,36.51374669367439,20.583842207390607,174.04164814159935,2891.602825928449
Chinstrap,Dream,female,2009,47.82463549073688,17.398632888448432,219.86498635509915,5550.9452406883065
Gentoo,Dream,male,2008,50.50105572226446,16.89511977294353,180.53933304434176,2861.003877012311
Gentoo,Dream,female,2007,40.13714487537837,19.592351822201785,184.8214903,3674.5302282827206
Gentoo,Biscoe,female,2008,37.14742790787862,16.554280182587554,192.83854451641483,3644.9825153399092
Gentoo,Biscoe,male,2008,37.438600294984994,14.690537280257457,207.96554178439345,4690.304927088377
Chinstrap,Dream,male,2007,40.120929364361835,19.363685028201253,192.9290185781252,3663.238876405807
Adelie,Biscoe,female,2008,47.95260788669112,20.652538664182003,198.73454320341418,4625.381419761424
Gentoo,Biscoe,male,2009,56.762504271839546,15.719828466103293,232.6888594558558,5341.993403752615
Gentoo,Biscoe,male,2007,39.85704807140478,17.089535538151956,188.44628532082118,3442.3817978129614
Adelie,Biscoe,male,2009,43.77226538,14.59986357601503,228.69720535321645,5773.045535188871
Chinstrap,Biscoe,female,2009,47.931011291932485,15.121788960613232,218.04874310872822,4985.333492537015
Gentoo,Biscoe,female,2008,42.32480406022566,17.291890902738178,196.68142967662132,4068.417633481176
Adelie,Biscoe,female,2007,48.41092536656977,14.740341549155662,221.74960165623025,5277.550039907976
Chinstrap,Biscoe,male,2008,50.49089610861656,20.89382345738105,195.57319241199093,4407.626392632746
Gentoo,Dream,female,2008,43.30761191830133,14.343894476834468,198.9238567638485,3866.788926782782
Adelie,Dream,male,2009,37.64377609278745,15.802372180630162,186.70627723157247,3428.276544555773
Gentoo,Dream,male,2008,36.95052743,18.597846184382295,196.5864600200631,3653.4654852856615
Adelie,Biscoe,male,2008,42.49554665063879,18.058715868587495,189.33267656245786,4522.673634170054
Gentoo,Dream,female,2007,39.48835463668107,14.811731210462078,206.95145015654242,4079.8068919572447
Adelie,Biscoe,male,2007,49.91658930996067,14.713379702541257,226.2700913476055,5387.907990033062
Gentoo,Biscoe,male,2008,37.40235062569438,19.30834820686439,172.1666077929376,2853.4509107309786
Adelie,Dream,male,2008,38.34519676807528,17.445337091013066,193.1311715912865,3610.8818910520804
Gentoo,Biscoe,female,2007,35.659770676967895,16.364990411333284,185.1339816987312,3600.190110424121
Gentoo,Torgersen,female,2008,30.04190557571072,16.20293526647209,186.08815722398663,3147.4411280958866
Chinstrap,Dream,female,2007,51.85347110116863,17.26212004063163,210.0247852315309,4366.485222725882
Chinstrap,Biscoe,male,2009,35.540685216017664,15.364933662031246,195.87655137567225,3950.951132459012
Adelie,Biscoe,male,2008,42.72009282051085,16.616881080360432,204.27994099124928,4289.368465124215
Chinstrap,Torgersen,male,2009,46.390627825750286,15.868683719433935,214.97421666023158,5369.067634373029
Adelie,Biscoe,male,2009,49.45741627873422,17.27197512286529,207.5730395443499,4677.874039289605
Adelie,Torgersen,female,2008,50.45470745540791,14.013508368957766,231.73838601588918,5417.1432274743765
Gentoo,Biscoe,male,2008,40.645589804690715,18.83732112,192.76631846465503,3214.6332244602536
Gentoo,Biscoe,female,2008,41.192831925967376,17.145780002358123,199.84761884470745,3281.2508784118854
Adelie,Dream,female,2007,49.77430422587709,13.607316027892114,225.16470543317382,4894.843084056918
Adelie,Biscoe,female,2008,37.75777526629086,19.59436481297007,177.73595758881115,3171.487292675133
Adelie,Biscoe,male,2009,36.85859192007306,17.833994526367555,196.46984023635022,3995.178305598025
Adelie,Dream,female,2009,39.33800176838957,17.75643614053832,201.44652923349045,4226.844067389079
Gentoo,Dream,female,2008,46.62453346927305,17.95084980801058,194.1211221119874,4297.478123487095
Chinstrap,Dream,female,2008,52.10994246394956,13.576559649978805,230.2396912178337,5843.187117167023
Adelie,Biscoe,male,2008,41.36063555627642,16.53092413,202.67478323908955,4444.156548994508
Gentoo,Torgersen,female,2007,42.94209268328685,17.763014078362836,192.81473341933184,3825.346336038846
Gentoo,Dream,male,2009,41.54813074895924,16.931705113473356,191.53588821540794,3374.418643533603
Gentoo,Torgersen,male,2009,40.91624335200671,17.61967665315719,188.59246831474454,4058.5891068807127
Adelie,Torgersen,male,2008,41.340681095706664,17.731763474459736,197.30937237782038,4857.832828124152
Gentoo,Biscoe,female,2007,40.05389168,18.26106128866683,189.28918300051475,3630.353051981687
Gentoo,Biscoe,male,2009,39.76676729553888,19.686652445186155,185.20794099057832,3347.427479938619
Adelie,Dream,female,2009,46.656482239929545,18.05074196257051,201.17823395283776,3962.8565650374635
Adelie,Dream,male,2009,50.558355460941925,18.45149561154027,196.59719625349726,3513.3457709199174
Gentoo,Dream,female,2009,36.05110123,16.03800262580782,199.79549049010797,4614.054336407612
Gentoo,Biscoe,male,2007,35.03930345108094,20.928584150781425,182.14715304275262,3550.487493618837
Chinstrap,Biscoe,female,2008,46.032048281507066,19.02865275303062,194.77338266206706,3545.5077645504352
Adelie,Torgersen,female,2007,44.44750131052466,13.294085182485352,219.80157360110854,4520.409480338557
Gentoo,Biscoe,male,2009,41.492934479117736,17.971798462515828,180.46991327319776,2919.2445223546024
Gentoo,Torgersen,female,2009,48.45614633,15.335506932096353,216.44176728700108,5171.260792397605
Gentoo,Dream,male,2008,43.032482624092104,16.578626014483152,211.42424636430334,4704.148349135077
Chinstrap,Torgersen,female,2008,55.35370098572019,16.875163505954795,222.53428466261295,5148.098037264668
Adelie,Biscoe,female,2009,29.677818728494117,20.39416744384496,166.7772525017012,3021.8663694260495
Adelie,Biscoe,male,2009,50.698256738077916,14.034958452469661,216.6850922501673,4693.337577932105
Adelie,Biscoe,female,2008,36.696195707207714,15.07399910964036,200.23240303123765,4439.3267854621945
Chinstrap,Dream,male,2009,47.2746912,15.883191019889251,223.73178711791383,6502.3983410927785
Gentoo,Dream,female,2009,46.09480316743208,15.667086523623423,201.67623490699228,4655.236707257866
Gentoo,Torgersen,male,2009,46.40880536365133,15.087620593194659,220.89070849260548,6080.1479492769995
Chinstrap,Dream,female,2008,51.62027512562056,14.559573892581156,228.48434067992233,5429.188842734805
Gentoo,Biscoe,male,2009,43.727947049005934,19.454890546354495,198.96466283887395,4109.753689
Adelie,Biscoe,male,2007,32.897712164195084,20.037966585248228,173.7340653186725,2716.5950830967217
Gentoo,Biscoe,female,2007,38.03245843747754,17.187085677519686,189.78439400133018,3199.59439
Adelie,Torgersen,male,2008,45.73605557921474,15.813643032679025,201.8986780361079,3598.707459353804
