species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex,year
Adelie,Biscoe,35.8,19.2,189,3775,female,2007
Adelie,Biscoe,37.8,18.6,193,2900,female,2009
Adelie,Biscoe,37.8,16.2,182,3050,female,2009
Adelie,Biscoe,37.6,18.3,174,3425,female,2007
Adelie,Biscoe,38.1,18.5,172,3175,female,2007
Adelie,Biscoe,38.5,17.2,199,3725,female,2009
Adelie,Biscoe,37.5,16.0,183,3100,female,2009
Adelie,Biscoe,39.4,17.6,186,3500,female,2008
Adelie,Biscoe,35.3,16.1,195,3300,female,2008
Adelie,Biscoe,36.3,17.0,184,2900,female,2008
Adelie,Biscoe,37.8,18.2,174,3400,female,2007
Adelie,Biscoe,37.8,16.0,184,3100,female,2009
Adelie,Biscoe,34.4,18.1,187,2875,female,2008
Adelie,Biscoe,39.6,20.7,191,3900,female,2009
Adelie,Biscoe,38.1,16.5,199,3850,female,2009
Adelie,Biscoe,37.4,18.4,174,3425,female,2007
Adelie,Biscoe,35.1,18.8,187,3825,female,2007
Adelie,Biscoe,39.4,17.7,186,3475,female,2008
Adelie,Biscoe,37.8,16.0,183,3100,female,2009
Adelie,Biscoe,39.0,17.5,186,3525,female,2008
Adelie,Biscoe,35.1,17.9,192,3725,female,2009
Adelie,Biscoe,37.9,17.0,181,3175,female,2009
Adelie,Biscoe,37.6,18.6,193,2900,female,2009
Adelie,Biscoe,36.8,16.6,181,2875,female,2008
Adelie,Biscoe,35.1,16.2,195,3350,female,2008
Adelie,Biscoe,35.8,19.2,189,3800,female,2007
Adelie,Biscoe,37.8,18.5,193,2925,female,2009
Adelie,Biscoe,36.6,16.6,181,2850,female,2008
Adelie,Biscoe,35.6,16.1,195,3375,female,2008
Adelie,Biscoe,38.0,17.0,181,3175,female,2009
Adelie,Biscoe,39.8,17.7,193,3225,female,2009
Adelie,Biscoe,35.8,16.9,185,3175,female,2008
Adelie,Biscoe,39.8,17.6,186,3525,female,2008
Adelie,Biscoe,36.4,17.2,184,2850,female,2008
Adelie,Biscoe,38.0,18.3,175,3400,female,2007
Adelie,Biscoe,36.6,16.6,181,2900,female,2008
Adelie,Biscoe,37.9,18.1,174,3375,female,2007
Adelie,Biscoe,35.6,16.2,196,3350,female,2008
Adelie,Biscoe,38.0,18.7,193,2900,female,2009
Adelie,Biscoe,39.6,20.6,191,3900,female,2009
Adelie,Biscoe,38.0,16.9,182,3150,female,2009
Adelie,Biscoe,37.7,18.6,172,3150,female,2007
Adelie,Biscoe,35.3,18.8,187,3800,female,2007
Adelie,Biscoe,39.6,20.8,191,3925,female,2009
Adelie,Biscoe,37.6,16.0,183,3100,female,2009
Adelie,Biscoe,40.3,17.9,187,3250,female,2007
Adelie,Biscoe,36.6,16.7,181,2850,female,2008
Adelie,Biscoe,39.7,20.7,191,3950,female,2009
Adelie,Biscoe,36.7,16.6,181,2875,female,2008
Adelie,Biscoe,34.5,18.1,187,2900,female,2008
Adelie,Biscoe,36.5,17.1,184,2850,female,2008
Adelie,Biscoe,40.7,17.9,187,3175,female,2007
Adelie,Biscoe,35.2,19.0,187,3750,female,2007
Adelie,Biscoe,36.4,16.6,181,2850,female,2008
Adelie,Biscoe,36.5,16.6,181,2875,female,2008
Adelie,Biscoe,39.6,17.7,185,3525,female,2008
Adelie,Biscoe,39.1,17.6,186,3600,female,2008
Adelie,Biscoe,37.8,18.5,172,3100,female,2007
Adelie,Biscoe,39.0,17.5,186,3575,female,2008
Adelie,Biscoe,37.9,18.5,172,3100,female,2007
Adelie,Biscoe,39.7,20.7,191,3900,female,2009
Adelie,Biscoe,37.7,18.3,174,3425,female,2007
Adelie,Biscoe,35.1,18.0,190,3450,female,2008
Adelie,Biscoe,35.6,16.9,185,3150,female,2008
Adelie,Biscoe,35.9,19.2,189,3775,female,2007
Adelie,Biscoe,39.8,17.6,193,3225,female,2009
Adelie,Biscoe,35.6,16.9,185,3125,female,2008
Adelie,Biscoe,38.1,16.5,198,3800,female,2009
Adelie,Biscoe,37.7,18.4,174,3425,female,2007
Adelie,Biscoe,39.5,20.7,191,3925,female,2009
Adelie,Biscoe,39.8,17.7,193,3175,female,2009
Adelie,Biscoe,37.7,16.0,183,3050,female,2009
Adelie,Biscoe,35.1,18.0,191,3700,female,2009
Adelie,Biscoe,39.0,17.5,187,3600,female,2008
Adelie,Biscoe,39.9,17.6,186,3500,female,2008
Adelie,Biscoe,37.9,18.3,174,3400,female,2007
Adelie,Biscoe,40.5,17.9,187,3225,female,2007
Adelie,Biscoe,39.7,17.6,193,3225,female,2009
Adelie,Biscoe,37.8,18.3,174,3425,female,2007
Adelie,Biscoe,38.7,17.1,199,3750,female,2009
Adelie,Biscoe,38.1,17.0,181,3225,female,2009
Adelie,Biscoe,38.0,17.0,181,3200,female,2009
Adelie,Biscoe,35.1,18.0,192,3750,female,2009
Adelie,Biscoe,35.5,16.1,195,3325,female,2008
Adelie,Biscoe,36.7,16.7,181,2875,female,2008
Adelie,Biscoe,35.7,16.2,195,3325,female,2008
Adelie,Biscoe,36.5,16.7,181,2850,female,2008
Adelie,Biscoe,38.0,17.0,180,3175,female,2009
Adelie,Biscoe,36.2,17.1,184,2875,female,2008
Adelie,Biscoe,35.3,16.2,195,3325,female,2008
Adelie,Biscoe,38.8,17.2,199,3725,female,2009
Adelie,Biscoe,36.5,16.5,181,2850,female,2008
Adelie,Biscoe,39.6,17.7,186,3550,female,2008
Adelie,Biscoe,37.8,18.2,174,3425,female,2007
Adelie,Biscoe,40.5,17.9,187,3200,female,2007
Adelie,Biscoe,38.2,17.0,181,3175,female,2009
Adelie,Biscoe,40.3,18.0,187,3175,female,2007
Adelie,Biscoe,38.2,16.4,198,3825,female,2009
Adelie,Biscoe,37.7,17.0,185,3625,female,2008
Adelie,Biscoe,38.0,17.1,181,3150,female,2009
Adelie,Biscoe,36.4,17.1,184,2850,female,2008
Adelie,Biscoe,38.2,16.6,199,3800,female,2009
Adelie,Biscoe,40.8,17.9,187,3175,female,2007
Adelie,Biscoe,39.4,20.6,191,3875,female,2009
Adelie,Biscoe,39.0,17.5,187,3550,female,2008
Adelie,Biscoe,38.1,18.5,193,2925,female,2009
Adelie,Biscoe,39.7,20.8,191,3875,female,2009
Adelie,Biscoe,37.6,16.0,183,3075,female,2009
Adelie,Biscoe,38.0,18.6,172,3175,female,2007
Adelie,Biscoe,37.7,17.0,185,3625,female,2008
Adelie,Biscoe,37.8,18.5,172,3175,female,2007
Adelie,Biscoe,36.2,17.0,183,2875,female,2008
Adelie,Biscoe,36.1,17.2,184,2850,female,2008
Adelie,Biscoe,39.7,20.7,191,3925,female,2009
Adelie,Biscoe,35.4,16.9,185,3150,female,2008
Adelie,Biscoe,34.6,18.1,188,2925,female,2008
Adelie,Biscoe,35.5,17.0,185,3125,female,2008
Adelie,Biscoe,38.4,17.2,199,3750,female,2009
Adelie,Biscoe,39.6,17.7,193,3200,female,2009
Adelie,Biscoe,34.7,18.0,187,2875,female,2008
Adelie,Biscoe,38.5,17.3,199,3775,female,2009
Adelie,Biscoe,39.0,17.5,186,3550,female,2008
Adelie,Biscoe,38.1,17.1,181,3150,female,2009
Adelie,Biscoe,35.1,17.9,192,3700,female,2009
Adelie,Biscoe,39.0,17.5,186,3525,female,2008
Adelie,Biscoe,36.7,16.5,180,2850,female,2008
Adelie,Biscoe,35.8,19.2,189,3800,female,2007
Adelie,Biscoe,38.2,16.5,199,3825,female,2009
Adelie,Biscoe,35.6,16.9,185,3125,female,2008
Adelie,Biscoe,38.1,18.7,172,3175,female,2007
Adelie,Biscoe,35.5,16.7,184,3200,female,2008
Adelie,Biscoe,35.7,19.0,189,3800,female,2007
Adelie,Biscoe,36.0,16.8,185,3150,female,2008
Adelie,Biscoe,38.0,18.7,172,3100,female,2007
Adelie,Biscoe,35.1,19.0,187,3800,female,2007
Adelie,Biscoe,39.6,17.8,186,3525,female,2008
Adelie,Biscoe,39.0,17.3,199,3775,female,2009
Adelie,Biscoe,37.7,18.2,174,3400,female,2007
Adelie,Biscoe,39.5,17.7,185,3500,female,2008
Adelie,Biscoe,35.5,16.3,195,3325,female,2008
Adelie,Biscoe,35.0,18.0,190,3450,female,2008
Adelie,Biscoe,34.5,18.1,187,2925,female,2008
Adelie,Biscoe,37.8,18.7,172,3125,female,2007
Adelie,Biscoe,38.6,17.2,200,3750,female,2009
Adelie,Biscoe,37.8,18.6,172,3150,female,2007
Adelie,Biscoe,40.5,17.9,186,3175,female,2007
Adelie,Biscoe,37.7,16.9,185,3575,female,2008
Adelie,Biscoe,38.2,17.0,181,3200,female,2009
Adelie,Biscoe,37.7,16.0,182,3075,female,2009
Adelie,Biscoe,34.5,18.1,187,2925,female,2008
Adelie,Biscoe,35.1,17.9,192,3725,female,2009
Adelie,Biscoe,37.8,18.2,174,3375,female,2007
Adelie,Biscoe,36.5,16.6,181,2875,female,2008
Adelie,Biscoe,38.0,17.1,181,3150,female,2009
Adelie,Biscoe,36.1,19.2,189,3775,female,2007
Adelie,Biscoe,36.5,16.7,181,2875,female,2008
Adelie,Biscoe,39.0,17.6,186,3525,female,2008
Adelie,Biscoe,35.0,17.8,192,3725,female,2009
Adelie,Biscoe,37.5,17.0,186,3650,female,2008
Adelie,Biscoe,34.8,17.9,190,3450,female,2008
Adelie,Biscoe,40.4,18.0,187,3150,female,2007
Adelie,Biscoe,35.1,17.9,192,3725,female,2009
Adelie,Biscoe,35.3,18.9,187,3800,female,2007
Adelie,Biscoe,39.6,17.7,193,3225,female,2009
Adelie,Biscoe,38.2,17.0,180,3200,female,2009
Adelie,Biscoe,34.3,18.0,187,2900,female,2008
Adelie,Biscoe,37.6,17.0,185,3600,female,2008
Adelie,Biscoe,37.9,17.1,182,3200,female,2009
Adelie,Biscoe,39.5,20.7,191,3875,female,2009
Adelie,Biscoe,36.5,17.1,184,2850,female,2008
Adelie,Biscoe,35.9,19.2,189,3825,female,2007
Adelie,Biscoe,37.4,17.0,185,3600,female,2008
Adelie,Biscoe,37.7,16.0,184,3075,female,2009
Adelie,Biscoe,35.0,17.9,192,3700,female,2009
Adelie,Biscoe,35.9,19.3,189,3800,female,2007
Adelie,Biscoe,35.6,16.2,194,3350,female,2008
Adelie,Biscoe,35.6,16.2,195,3375,female,2008
Adelie,Biscoe,38.9,17.4,186,3550,female,2008
Adelie,Biscoe,35.8,19.2,189,3800,female,2007
Adelie,Biscoe,39.9,20.7,191,3900,female,2009
Adelie,Biscoe,40.5,17.9,187,3200,female,2007
Adelie,Biscoe,35.2,18.9,187,3800,female,2007
Adelie,Biscoe,34.9,17.9,191,3675,female,2009
Adelie,Biscoe,35.9,19.2,189,3800,female,2007
Adelie,Biscoe,35.7,16.2,195,3350,female,2008
Adelie,Biscoe,39.7,17.6,186,3475,female,2008
Adelie,Biscoe,38.3,17.1,199,3750,female,2009
Adelie,Biscoe,36.4,16.7,181,2850,female,2008
Adelie,Biscoe,37.6,16.1,182,3050,female,2009
Adelie,Biscoe,40.5,17.9,187,3200,female,2007
Adelie,Biscoe,37.9,17.0,181,3175,female,2009
Adelie,Biscoe,39.7,17.7,194,3200,female,2009
Adelie,Biscoe,35.5,16.2,195,3350,female,2008
Adelie,Biscoe,35.9,19.2,189,3800,female,2007
Adelie,Biscoe,36.3,17.1,184,2875,female,2008
Adelie,Biscoe,35.3,16.2,196,3325,female,2008
Adelie,Biscoe,37.7,15.9,183,3025,female,2009
Adelie,Biscoe,34.3,18.1,188,2900,female,2008
Adelie,Biscoe,36.4,17.1,184,2850,female,2008
Adelie,Biscoe,37.9,18.6,193,2925,female,2009
Adelie,Biscoe,36.2,17.0,184,2850,female,2008
Adelie,Biscoe,37.6,16.0,183,3050,female,2009
Adelie,Biscoe,34.5,18.1,187,2925,female,2008
Adelie,Biscoe,35.3,16.2,195,3375,female,2008
Adelie,Biscoe,39.0,17.4,186,3575,female,2008
Adelie,Biscoe,37.9,18.5,172,3150,female,2007
Adelie,Biscoe,39.7,17.7,193,3200,female,2009
Adelie,Biscoe,34.4,18.1,187,2925,female,2008
Adelie,Biscoe,38.9,17.4,186,3575,female,2008
Adelie,Biscoe,36.3,16.5,181,2850,female,2008
Adelie,Biscoe,36.4,17.2,184,2850,female,2008
Adelie,Biscoe,39.0,17.6,185,3525,female,2008
Adelie,Biscoe,38.3,16.4,198,3800,female,2009
Adelie,Biscoe,35.1,18.9,188,3850,female,2007
Adelie,Biscoe,35.8,19.1,189,3750,female,2007
Adelie,Biscoe,35.7,19.3,189,3775,female,2007
Adelie,Biscoe,39.8,17.8,193,3200,female,2009
Adelie,Biscoe,39.1,17.4,186,3575,female,2008
Adelie,Biscoe,35.2,17.9,190,3475,female,2008
Adelie,Biscoe,38.1,17.1,181,3175,female,2009
Adelie,Biscoe,39.5,17.7,186,3500,female,2008
Adelie,Biscoe,36.0,19.1,190,3775,female,2007
Adelie,Biscoe,34.9,17.8,190,3425,female,2008
Adelie,Biscoe,38.0,17.0,181,3175,female,2009
Adelie,Biscoe,38.2,16.9,181,3175,female,2009
Adelie,Biscoe,37.8,18.4,174,3375,female,2007
Adelie,Biscoe,39.7,20.8,191,3900,female,2009
Adelie,Biscoe,37.9,18.5,194,2925,female,2009
Adelie,Biscoe,35.9,16.9,185,3150,female,2008
Adelie,Biscoe,38.0,17.0,181,3175,female,2009
Adelie,Biscoe,39.5,20.7,191,3875,female,2009
Adelie,Biscoe,36.4,17.1,184,2850,female,2008
Adelie,Biscoe,35.8,16.8,186,3150,female,2008
Adelie,Biscoe,38.7,17.2,199,3750,female,2009
Adelie,Biscoe,38.6,17.2,199,3725,female,2009
Adelie,Biscoe,35.7,16.1,195,3375,female,2008
Adelie,Biscoe,40.5,17.9,187,3200,female,2007
Adelie,Biscoe,39.6,20.6,191,3900,female,2009
Adelie,Biscoe,38.0,17.0,181,3200,female,2009
Adelie,Biscoe,38.0,18.6,193,2900,female,2009
Adelie,Biscoe,35.9,19.2,188,3775,female,2007
Adelie,Biscoe,35.2,18.9,187,3750,female,2007
Adelie,Biscoe,38.1,16.6,198,3825,female,2009
Adelie,Biscoe,36.4,17.1,184,2875,female,2008
Adelie,Biscoe,37.8,18.6,172,3150,female,2007
Adelie,Biscoe,34.9,18.0,192,3750,female,2009
Adelie,Biscoe,36.3,17.0,184,2875,female,2008
Adelie,Biscoe,36.3,17.0,184,2850,female,2008
Adelie,Biscoe,38.1,16.9,181,3175,female,2009
Adelie,Biscoe,34.7,18.2,187,2875,female,2008
Adelie,Biscoe,40.3,17.9,187,3200,female,2007
Adelie,Biscoe,37.9,18.6,172,3175,female,2007
Adelie,Biscoe,37.7,17.0,185,3575,female,2008
Adelie,Biscoe,37.8,18.6,193,2925,female,2009
Adelie,Biscoe,39.8,20.7,191,3925,female,2009
Adelie,Biscoe,38.7,17.2,199,3775,female,2009
Adelie,Biscoe,37.8,18.3,174,3425,female,2007
Adelie,Biscoe,37.6,16.0,184,3100,female,2009
Adelie,Biscoe,38.7,17.2,199,3750,female,2009
Adelie,Biscoe,34.6,18.1,187,2850,female,2008
Adelie,Biscoe,36.0,19.3,189,3825,female,2007
Adelie,Biscoe,37.7,16.1,183,3050,female,2009
Adelie,Biscoe,36.6,16.6,181,2900,female,2008
Adelie,Biscoe,36.3,17.1,184,2850,female,2008
Adelie,Biscoe,37.6,16.0,183,3075,female,2009
Adelie,Biscoe,39.6,20.7,191,3900,female,2009
Adelie,Biscoe,37.9,18.6,172,3175,female,2007
Adelie,Biscoe,38.0,16.5,197,3800,female,2009
Adelie,Biscoe,35.6,16.9,185,3175,female,2008
Adelie,Biscoe,36.5,17.0,184,2875,female,2008
Adelie,Biscoe,38.7,17.1,199,3775,female,2009
Adelie,Biscoe,38.1,16.5,197,3800,female,2009
Adelie,Biscoe,35.9,19.0,189,3800,female,2007
Adelie,Biscoe,36.5,16.5,181,2875,female,2008
Adelie,Biscoe,37.7,16.0,183,3050,female,2009
Adelie,Biscoe,34.9,17.8,192,3700,female,2009
Adelie,Biscoe,39.0,17.5,185,3600,female,2008
Adelie,Biscoe,36.5,17.1,184,2850,female,2008
Adelie,Biscoe,36.4,17.1,185,2850,female,2008
Adelie,Biscoe,35.4,18.8,187,3800,female,2007
Adelie,Biscoe,35.0,17.9,192,3750,female,2009
Adelie,Biscoe,37.7,16.0,183,3050,female,2009
Adelie,Biscoe,39.4,17.7,185,3500,female,2008
Adelie,Biscoe,37.6,18.6,193,2900,female,2009
Adelie,Biscoe,35.4,17.0,185,3150,female,2008
Adelie,Biscoe,38.2,16.9,181,3175,female,2009
Adelie,Biscoe,35.1,18.0,191,3750,female,2009
Adelie,Biscoe,39.5,17.7,193,3200,female,2009
Adelie,Biscoe,41.9,19.5,197,4300,male,2009
Adelie,Biscoe,40.3,18.9,188,4325,male,2008
Adelie,Biscoe,43.0,18.9,197,4775,male,2009
Adelie,Biscoe,39.6,18.9,184,3575,male,2009
Adelie,Biscoe,40.5,18.9,180,3975,male,2007
Adelie,Biscoe,41.2,19.1,188,4125,male,2008
Adelie,Biscoe,38.1,18.2,184,4000,male,2007
Adelie,Biscoe,42.5,18.3,196,4100,male,2009
Adelie,Biscoe,40.4,18.7,193,3825,male,2008
Adelie,Biscoe,40.7,18.8,192,3800,male,2008
Adelie,Biscoe,38.2,20.0,190,3900,male,2009
Adelie,Biscoe,40.3,18.7,183,3550,male,2007
Adelie,Biscoe,37.9,20.0,190,4225,male,2009
Adelie,Biscoe,40.6,18.6,183,3550,male,2007
Adelie,Biscoe,38.3,18.0,185,3950,male,2007
Adelie,Biscoe,40.5,19.0,180,3975,male,2007
Adelie,Biscoe,40.5,18.6,183,3600,male,2007
Adelie,Biscoe,40.6,18.5,183,3575,male,2007
Adelie,Biscoe,41.2,19.1,188,4150,male,2008
Adelie,Biscoe,40.6,18.9,180,3975,male,2007
Adelie,Biscoe,45.6,20.2,191,4600,male,2009
Adelie,Biscoe,42.2,19.7,197,4275,male,2009
Adelie,Biscoe,37.8,18.7,180,3650,male,2007
Adelie,Biscoe,37.7,19.2,194,3775,male,2008
Adelie,Biscoe,45.5,20.4,191,4625,male,2009
Adelie,Biscoe,41.3,21.0,195,4400,male,2008
Adelie,Biscoe,40.6,18.8,193,3800,male,2008
Adelie,Biscoe,38.2,20.0,190,3900,male,2009
Adelie,Biscoe,39.9,18.9,184,3550,male,2009
Adelie,Biscoe,41.8,18.0,192,3950,male,2008
Adelie,Biscoe,38.5,20.0,190,3900,male,2009
Adelie,Biscoe,41.1,18.1,192,4025,male,2008
Adelie,Biscoe,38.1,19.9,190,3900,male,2009
Adelie,Biscoe,39.9,19.0,188,4325,male,2008
Adelie,Biscoe,40.6,18.9,180,3950,male,2007
Adelie,Biscoe,38.6,17.2,180,3825,male,2007
Adelie,Biscoe,40.9,18.1,192,4075,male,2008
Adelie,Biscoe,45.7,20.3,191,4600,male,2009
Adelie,Biscoe,41.3,21.1,195,4375,male,2008
Adelie,Biscoe,41.3,18.7,191,3675,male,2008
Adelie,Biscoe,37.6,19.0,194,3750,male,2008
Adelie,Biscoe,41.9,18.0,192,3950,male,2008
Adelie,Biscoe,37.9,20.0,190,4275,male,2009
Adelie,Biscoe,37.7,18.6,179,3625,male,2007
Adelie,Biscoe,40.6,18.6,183,3550,male,2007
Adelie,Biscoe,38.3,20.1,190,3900,male,2009
Adelie,Biscoe,41.1,18.6,191,3700,male,2008
Adelie,Biscoe,40.6,18.9,193,3825,male,2008
Adelie,Biscoe,40.7,18.9,193,3775,male,2008
Adelie,Biscoe,41.6,18.5,191,3700,male,2008
Adelie,Biscoe,41.5,18.6,191,3700,male,2008
Adelie,Biscoe,40.3,19.0,180,3950,male,2007
Adelie,Biscoe,39.6,18.8,184,3525,male,2009
Adelie,Biscoe,41.6,18.0,192,3925,male,2008
Adelie,Biscoe,42.9,18.3,196,4100,male,2009
Adelie,Biscoe,42.9,18.3,196,4075,male,2009
Adelie,Biscoe,41.1,18.2,193,4075,male,2008
Adelie,Biscoe,39.5,18.9,184,3550,male,2009
Adelie,Biscoe,41.0,18.2,191,4075,male,2008
Adelie,Biscoe,40.2,19.0,189,4275,male,2008
Adelie,Biscoe,38.2,20.0,190,3900,male,2009
Adelie,Biscoe,38.0,18.0,184,3925,male,2007
Adelie,Biscoe,42.3,19.5,197,4225,male,2009
Adelie,Biscoe,40.9,20.0,203,4700,male,2009
Adelie,Biscoe,42.5,18.3,196,4075,male,2009
Adelie,Biscoe,45.6,20.2,191,4600,male,2009
Adelie,Biscoe,37.6,20.0,190,4275,male,2009
Adelie,Biscoe,42.0,19.5,199,4075,male,2008
Adelie,Biscoe,40.5,19.1,180,4000,male,2007
Adelie,Biscoe,45.6,20.2,191,4600,male,2009
Adelie,Biscoe,42.8,18.2,196,4075,male,2009
Adelie,Biscoe,41.5,21.1,195,4400,male,2008
Adelie,Biscoe,38.0,20.1,190,4250,male,2009
Adelie,Biscoe,38.8,17.2,180,3850,male,2007
Adelie,Biscoe,40.0,18.9,188,4275,male,2008
Adelie,Biscoe,40.7,18.6,183,3550,male,2007
Adelie,Biscoe,41.4,18.6,191,3725,male,2008
Adelie,Biscoe,41.1,21.1,195,4425,male,2008
Adelie,Biscoe,38.0,19.9,190,3900,male,2009
Adelie,Biscoe,40.6,18.7,192,3800,male,2008
Adelie,Biscoe,41.6,18.0,192,3950,male,2008
Adelie,Biscoe,38.5,20.0,190,3900,male,2009
Adelie,Biscoe,42.1,19.5,198,4250,male,2009
Adelie,Biscoe,40.4,18.9,188,4275,male,2008
Adelie,Biscoe,40.5,18.6,183,3525,male,2007
Adelie,Biscoe,38.6,17.2,180,3800,male,2007
Adelie,Biscoe,40.3,18.5,183,3550,male,2007
Adelie,Biscoe,37.6,18.8,180,3625,male,2007
Adelie,Biscoe,37.8,20.0,190,4225,male,2009
Adelie,Biscoe,42.4,19.5,197,4250,male,2009
Adelie,Biscoe,38.1,20.0,190,4225,male,2009
Adelie,Biscoe,45.8,20.3,191,4625,male,2009
Adelie,Biscoe,40.2,18.9,188,4325,male,2008
Adelie,Biscoe,40.8,18.8,193,3800,male,2008
Adelie,Biscoe,41.9,19.3,197,4300,male,2009
Adelie,Biscoe,38.2,18.0,185,3925,male,2007
Adelie,Biscoe,40.6,18.6,183,3550,male,2007
Adelie,Biscoe,45.6,20.3,191,4575,male,2009
Adelie,Biscoe,42.9,18.3,196,4075,male,2009
Adelie,Biscoe,37.6,20.0,189,4250,male,2009
Adelie,Biscoe,41.1,18.2,192,4050,male,2008
Adelie,Biscoe,38.1,20.1,190,3900,male,2009
Adelie,Biscoe,41.8,19.6,200,4000,male,2008
Adelie,Biscoe,39.0,17.2,180,3800,male,2007
Adelie,Biscoe,42.6,18.3,195,4100,male,2009
Adelie,Biscoe,43.3,19.0,197,4775,male,2009
Adelie,Biscoe,40.6,19.0,180,4000,male,2007
Adelie,Biscoe,37.7,19.1,194,3750,male,2008
Adelie,Biscoe,40.3,18.8,180,3950,male,2007
Adelie,Biscoe,41.5,18.0,192,3975,male,2008
Adelie,Biscoe,41.3,18.4,192,4050,male,2008
Adelie,Biscoe,41.9,19.5,196,4275,male,2009
Adelie,Biscoe,40.8,18.6,184,3500,male,2007
Adelie,Biscoe,38.0,18.1,184,3925,male,2007
Adelie,Biscoe,41.0,18.1,192,4050,male,2008
Adelie,Biscoe,38.2,20.0,190,3875,male,2009
Adelie,Biscoe,41.1,18.3,192,4025,male,2008
Adelie,Biscoe,41.5,18.0,192,3900,male,2008
Adelie,Biscoe,41.3,18.2,192,4050,male,2008
Adelie,Biscoe,40.6,18.6,183,3550,male,2007
Adelie,Biscoe,41.5,18.6,191,3750,male,2008
Adelie,Biscoe,37.8,20.0,190,4225,male,2009
Adelie,Biscoe,40.0,18.9,188,4300,male,2008
Adelie,Biscoe,37.8,19.0,194,3775,male,2008
Adelie,Biscoe,45.6,20.2,191,4550,male,2009
Adelie,Biscoe,40.6,19.0,180,3975,male,2007
Adelie,Biscoe,37.6,19.1,193,3775,male,2008
Adelie,Biscoe,38.2,20.2,190,3875,male,2009
Adelie,Biscoe,41.3,18.7,191,3725,male,2008
Adelie,Biscoe,37.7,18.7,180,3575,male,2007
Adelie,Biscoe,40.5,18.5,182,3550,male,2007
Adelie,Biscoe,40.6,18.7,193,3800,male,2008
Adelie,Biscoe,37.9,18.1,185,3925,male,2007
Adelie,Biscoe,41.9,19.6,200,3975,male,2008
Adelie,Biscoe,42.2,19.5,197,4275,male,2009
Adelie,Biscoe,41.7,18.0,192,3950,male,2008
Adelie,Biscoe,43.3,19.0,197,4750,male,2009
Adelie,Biscoe,45.6,20.3,191,4625,male,2009
Adelie,Biscoe,40.0,18.9,188,4275,male,2008
Adelie,Biscoe,45.4,20.3,191,4650,male,2009
Adelie,Biscoe,41.2,18.6,191,3675,male,2008
Adelie,Biscoe,37.8,20.1,190,4225,male,2009
Adelie,Biscoe,41.1,19.9,203,4750,male,2009
Adelie,Biscoe,43.2,19.0,197,4750,male,2009
Adelie,Biscoe,41.5,18.7,191,3725,male,2008
Adelie,Biscoe,41.1,18.2,191,4050,male,2008
Adelie,Biscoe,38.8,17.3,180,3800,male,2007
Adelie,Biscoe,45.8,20.3,191,4625,male,2009
Adelie,Biscoe,42.1,19.6,197,4300,male,2009
Adelie,Biscoe,40.6,18.8,194,3800,male,2008
Adelie,Biscoe,39.9,18.8,184,3525,male,2009
Adelie,Biscoe,38.8,17.2,180,3800,male,2007
Adelie,Biscoe,41.3,21.1,194,4400,male,2008
Adelie,Biscoe,37.6,18.7,180,3600,male,2007
Adelie,Biscoe,41.2,19.1,188,4075,male,2008
Adelie,Biscoe,41.2,21.1,195,4375,male,2008
Adelie,Biscoe,40.7,18.9,180,4000,male,2007
